team,player,matches
Chennai Super Kings,DJ Hooda,1
Chennai Super Kings,KK Ahmed,1
Chennai Super Kings,MS Dhoni,1
Chennai Super Kings,NT Ellis,1
Chennai Super Kings,Noor Ahmad,1
Chennai Super Kings,R Ashwin,1
Chennai Super Kings,R Ravindra,1
Chennai Super Kings,RA Jadeja,1
Chennai Super Kings,RA Tripathi,1
Chennai Super Kings,RD Gaikwad,1
Chennai Super Kings,S Dube,1
Chennai Super Kings,SM Curran,1
Delhi Capitals,AR Patel,1
Delhi Capitals,Abishek Porel,1
Delhi Capitals,Ashutosh Sharma,1
Delhi Capitals,F du Plessis,1
Delhi Capitals,J Fraser-McGurk,1
Delhi Capitals,Kuldeep Yadav,1
Delhi Capitals,MA Starc,1
Delhi Capitals,MM Sharma,1
Delhi Capitals,Mukesh Kumar,1
Delhi Capitals,Sameer Rizvi,1
Delhi Capitals,T Stubbs,1
Delhi Capitals,V Nigam,1
Gujarat Titans,Arshad Khan,1
Gujarat Titans,B Sai Sudharsan,1
Gujarat Titans,JC Buttler,1
Gujarat Titans,K Rabada,1
Gujarat Titans,M Prasidh Krishna,1
Gujarat Titans,M Shahrukh Khan,1
Gujarat Titans,Mohammed Siraj,1
Gujarat Titans,R Sai Kishore,1
Gujarat Titans,R Tewatia,1
Gujarat Titans,Rashid Khan,1
Gujarat Titans,SE Rutherford,1
Gujarat Titans,Shubman Gill,1
Kolkata Knight Riders,A Raghuvanshi,2
Kolkata Knight Riders,AD Russell,2
Kolkata Knight Riders,AM Rahane,2
Kolkata Knight Riders,CV Varun,2
Kolkata Knight Riders,Harshit Rana,2
Kolkata Knight Riders,MM Ali,1
Kolkata Knight Riders,Q de Kock,2
Kolkata Knight Riders,RK Singh,2
Kolkata Knight Riders,Ramandeep Singh,2
Kolkata Knight Riders,SH Johnson,2
Kolkata Knight Riders,SP Narine,1
Kolkata Knight Riders,VG Arora,2
Kolkata Knight Riders,VR Iyer,2
Lucknow Super Giants,A Badoni,2
Lucknow Super Giants,AK Markram,2
Lucknow Super Giants,Abdul Samad,1
Lucknow Super Giants,Avesh Khan,1
Lucknow Super Giants,DA Miller,2
Lucknow Super Giants,DS Rathi,2
Lucknow Super Giants,M Siddharth,1
Lucknow Super Giants,MR Marsh,2
Lucknow Super Giants,N Pooran,2
Lucknow Super Giants,Prince Yadav,2
Lucknow Super Giants,RR Pant,2
Lucknow Super Giants,Ravi Bishnoi,2
Lucknow Super Giants,SN Thakur,2
Lucknow Super Giants,Shahbaz Ahmed,1
Mumbai Indians,DL Chahar,1
Mumbai Indians,MJ Santner,1
Mumbai Indians,Naman Dhir,1
Mumbai Indians,PVSN Raju,1
Mumbai Indians,R Minz,1
Mumbai Indians,RD Rickelton,1
Mumbai Indians,RG Sharma,1
Mumbai Indians,SA Yadav,1
Mumbai Indians,TA Boult,1
Mumbai Indians,Tilak Varma,1
Mumbai Indians,V Puthur,1
Mumbai Indians,WG Jacks,1
Punjab Kings,Arshdeep Singh,1
Punjab Kings,Azmatullah Omarzai,1
Punjab Kings,GJ Maxwell,1
Punjab Kings,M Jansen,1
Punjab Kings,MP Stoinis,1
Punjab Kings,P Simran Singh,1
Punjab Kings,Priyansh Arya,1
Punjab Kings,SS Iyer,1
Punjab Kings,Shashank Singh,1
Punjab Kings,Suryansh Shedge,1
Punjab Kings,Vijaykumar Vyshak,1
Punjab Kings,YS Chahal,1
Rajasthan Royals,Dhruv Jurel,2
Rajasthan Royals,Fazalhaq Farooqi,1
Rajasthan Royals,JC Archer,2
Rajasthan Royals,M Theekshana,2
Rajasthan Royals,N Rana,2
Rajasthan Royals,PWH de Silva,1
Rajasthan Royals,R Parag,2
Rajasthan Royals,SB Dubey,2
Rajasthan Royals,SO Hetmyer,2
Rajasthan Royals,SV Samson,2
Rajasthan Royals,Sandeep Sharma,2
Rajasthan Royals,TU Deshpande,2
Rajasthan Royals,YBK Jaiswal,2
Royal Challengers Bengaluru,D Padikkal,1
Royal Challengers Bengaluru,JM Sharma,1
Royal Challengers Bengaluru,JR Hazlewood,1
Royal Challengers Bengaluru,KH Pandya,1
Royal Challengers Bengaluru,LS Livingstone,1
Royal Challengers Bengaluru,PD Salt,1
Royal Challengers Bengaluru,RM Patidar,1
Royal Challengers Bengaluru,Rasikh Salam,1
Royal Challengers Bengaluru,Suyash Sharma,1
Royal Challengers Bengaluru,TH David,1
Royal Challengers Bengaluru,V Kohli,1
Royal Challengers Bengaluru,Yash Dayal,1
Sunrisers Hyderabad,A Manohar,2
Sunrisers Hyderabad,A Zampa,2
Sunrisers Hyderabad,Abhishek Sharma,2
Sunrisers Hyderabad,Aniket Verma,2
Sunrisers Hyderabad,H Klaasen,2
Sunrisers Hyderabad,HV Patel,2
Sunrisers Hyderabad,Ishan Kishan,2
Sunrisers Hyderabad,Mohammed Shami,2
Sunrisers Hyderabad,Nithish Kumar Reddy,2
Sunrisers Hyderabad,PJ Cummins,2
Sunrisers Hyderabad,Simarjeet Singh,2
Sunrisers Hyderabad,TM Head,2
Mumbai Indians,HH Pandya,1
Delhi Capitals,KL Rahul,1
